Title,Date,Rating,Review,City,State,Categories
Papa Spot Heaven,2023-04-17 00:00:00,4.0,"Decent pizza, but nothing extraordinary.",Eilat,IL,"Pizza, Restaurants, Fast Food"
Papa Spot Heaven,2024-09-05 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Eilat,IL,"Pizza, Restaurants, Fast Food"
Papa Spot Heaven,2022-03-02 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Eilat,IL,"Pizza, Restaurants, Fast Food"
Brick Pie Joint,2021-06-10 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Ashdod,IL,"Pizza, Restaurants, Fast Food"
Brick Pie Joint,2022-09-07 00:00:00,4.0,"Decent pizza, but nothing extraordinary.",Ashdod,IL,"Pizza, Restaurants, Fast Food"
Brick Pie Joint,2023-11-19 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Ashdod,IL,"Pizza, Restaurants, Fast Food"
Mamma Corner Heaven,2022-07-04 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Ashdod,IL,"Pizza, Restaurants, Fast Food"
Mamma Corner Heaven,2020-09-26 00:00:00,4.0,"Decent pizza, but nothing extraordinary.",Ashdod,IL,"Pizza, Restaurants, Fast Food"
Mamma Corner Heaven,2024-05-27 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Ashdod,IL,"Pizza, Restaurants, Fast Food"
Dough Pie Slice,2022-06-22 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Ashdod,IL,"Pizza, Restaurants, Fast Food"
Dough Pie Slice,2022-07-08 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Ashdod,IL,"Pizza, Restaurants, Fast Food"
Dough Pie Slice,2023-11-02 00:00:00,4.0,"Not bad, could be better with fresher ingredients.",Ashdod,IL,"Pizza, Restaurants, Fast Food"
Tony's Pizza Vibes,2024-02-09 00:00:00,5.0,Outstanding service and even better pizza!,Ashdod,IL,"Pizza, Restaurants, Fast Food"
Tony's Pizza Vibes,2023-08-21 00:00:00,4.0,"Not bad, could be better with fresher ingredients.",Ashdod,IL,"Pizza, Restaurants, Fast Food"
Tony's Pizza Vibes,2021-02-25 00:00:00,3.0,Too salty and the service was slow.,Ashdod,IL,"Pizza, Restaurants, Fast Food"
Brick Spot Delight,2022-09-08 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Ashdod,IL,"Pizza, Restaurants, Fast Food"
Brick Spot Delight,2023-08-19 00:00:00,4.0,"Okay experience, the pizza was average.",Ashdod,IL,"Pizza, Restaurants, Fast Food"
Brick Spot Delight,2021-02-09 00:00:00,4.0,"Decent pizza, but nothing extraordinary.",Ashdod,IL,"Pizza, Restaurants, Fast Food"
Napoli Crust Taste,2022-04-16 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Netanya,IL,"Pizza, Restaurants, Fast Food"
Napoli Crust Taste,2021-08-30 00:00:00,4.0,"Okay experience, the pizza was average.",Netanya,IL,"Pizza, Restaurants, Fast Food"
Napoli Crust Taste,2020-10-24 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Netanya,IL,"Pizza, Restaurants, Fast Food"
Mamma Corner Slice,2023-01-23 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Netanya,IL,"Pizza, Restaurants, Fast Food"
Mamma Corner Slice,2020-05-12 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Netanya,IL,"Pizza, Restaurants, Fast Food"
Mamma Corner Slice,2020-11-09 00:00:00,4.0,Average place. Quick service but bland flavor.,Netanya,IL,"Pizza, Restaurants, Fast Food"
Slice Pizza Delight,2020-06-01 00:00:00,4.0,Average place. Quick service but bland flavor.,Netanya,IL,"Pizza, Restaurants, Fast Food"
Slice Pizza Delight,2023-07-16 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Netanya,IL,"Pizza, Restaurants, Fast Food"
Slice Pizza Delight,2024-08-27 00:00:00,4.0,"Not bad, could be better with fresher ingredients.",Netanya,IL,"Pizza, Restaurants, Fast Food"
Papa Corner Vibes,2022-11-01 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Netanya,IL,"Pizza, Restaurants, Fast Food"
Papa Corner Vibes,2023-11-11 00:00:00,3.0,"Not impressed, the pizza arrived cold and overcooked.",Netanya,IL,"Pizza, Restaurants, Fast Food"
Papa Corner Vibes,2024-08-26 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Netanya,IL,"Pizza, Restaurants, Fast Food"
Slice Corner Taste,2022-11-22 00:00:00,4.0,"Decent pizza, but nothing extraordinary.",Netanya,IL,"Pizza, Restaurants, Fast Food"
Slice Corner Taste,2022-04-13 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Netanya,IL,"Pizza, Restaurants, Fast Food"
Slice Corner Taste,2023-04-28 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Netanya,IL,"Pizza, Restaurants, Fast Food"
Slice Place Factory,2022-10-12 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Slice Place Factory,2022-07-09 00:00:00,4.0,"The pizza was fine, but I've had better.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Slice Place Factory,2021-11-16 00:00:00,4.0,"Okay experience, the pizza was average.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Luigi's Pie Delight,2024-11-09 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Luigi's Pie Delight,2023-11-14 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Luigi's Pie Delight,2023-09-08 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Dough Spot Taste,2024-03-09 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Dough Spot Taste,2020-04-28 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Dough Spot Taste,2024-11-05 00:00:00,4.0,"The pizza was fine, but I've had better.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Tony's Crust Joint,2020-11-24 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Tony's Crust Joint,2022-08-05 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Tony's Crust Joint,2024-10-24 00:00:00,4.0,Average place. Quick service but bland flavor.,Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Papa Pizzeria Delight,2021-02-09 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Papa Pizzeria Delight,2020-11-25 00:00:00,4.0,"The pizza was fine, but I've had better.",Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Papa Pizzeria Delight,2024-11-03 00:00:00,4.0,Average place. Quick service but bland flavor.,Rishon LeZion,IL,"Pizza, Restaurants, Fast Food"
Gusto Pie Slice,2023-10-13 00:00:00,4.0,"Okay experience, the pizza was average.",Holon,IL,"Pizza, Restaurants, Fast Food"
Gusto Pie Slice,2023-02-26 00:00:00,4.0,"The pizza was fine, but I've had better.",Holon,IL,"Pizza, Restaurants, Fast Food"
Gusto Pie Slice,2020-09-07 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Holon,IL,"Pizza, Restaurants, Fast Food"
Brick Pizzeria Delight,2020-12-03 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Holon,IL,"Pizza, Restaurants, Fast Food"
Brick Pizzeria Delight,2022-01-10 00:00:00,5.0,"The sauce was rich and flavorful, and the dough was perfectly baked.",Holon,IL,"Pizza, Restaurants, Fast Food"
Brick Pizzeria Delight,2023-04-29 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Holon,IL,"Pizza, Restaurants, Fast Food"
Papa Oven Time,2022-04-16 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Holon,IL,"Pizza, Restaurants, Fast Food"
Papa Oven Time,2021-04-02 00:00:00,5.0,Outstanding service and even better pizza!,Holon,IL,"Pizza, Restaurants, Fast Food"
Papa Oven Time,2023-09-09 00:00:00,3.0,Too salty and the service was slow.,Holon,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizza Taste,2020-07-06 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Holon,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizza Taste,2023-02-17 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Holon,IL,"Pizza, Restaurants, Fast Food"
Mamma Pizza Taste,2020-03-26 00:00:00,3.0,Mediocre at best. Needs improvement.,Holon,IL,"Pizza, Restaurants, Fast Food"
Papa Corner Heaven,2024-11-23 00:00:00,3.0,Disappointing. The crust was soggy and the toppings lacked flavor.,Holon,IL,"Pizza, Restaurants, Fast Food"
Papa Corner Heaven,2023-12-19 00:00:00,5.0,Outstanding service and even better pizza!,Holon,IL,"Pizza, Restaurants, Fast Food"
Papa Corner Heaven,2020-04-12 00:00:00,4.0,"The pizza was fine, but I've had better.",Holon,IL,"Pizza, Restaurants, Fast Food"
Slice Oven Express,2023-10-01 00:00:00,5.0,Outstanding service and even better pizza!,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Slice Oven Express,2021-05-20 00:00:00,3.0,Too salty and the service was slow.,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Slice Oven Express,2020-05-26 00:00:00,5.0,Outstanding service and even better pizza!,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Papa Pie Heaven,2021-11-06 00:00:00,4.0,"Okay experience, the pizza was average.",Herzliya,IL,"Pizza, Restaurants, Fast Food"
Papa Pie Heaven,2021-12-15 00:00:00,4.0,"The pizza was fine, but I've had better.",Herzliya,IL,"Pizza, Restaurants, Fast Food"
Papa Pie Heaven,2023-10-03 00:00:00,3.0,Too salty and the service was slow.,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Oven Pizzeria Taste,2023-03-07 00:00:00,5.0,Outstanding service and even better pizza!,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Oven Pizzeria Taste,2024-11-02 00:00:00,3.0,The cheese was rubbery and the sauce was watery.,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Oven Pizzeria Taste,2020-03-10 00:00:00,5.0,Delicious and crispy. Will definitely return for more!,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Slice Kitchen Vibes,2021-07-19 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Slice Kitchen Vibes,2024-08-05 00:00:00,5.0,Amazing experience! Best pizza I've had in a while.,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Slice Kitchen Vibes,2021-10-31 00:00:00,4.0,"Decent pizza, but nothing extraordinary.",Herzliya,IL,"Pizza, Restaurants, Fast Food"
Tony's Oven Slice,2022-03-30 00:00:00,4.0,"The pizza was fine, but I've had better.",Herzliya,IL,"Pizza, Restaurants, Fast Food"
Tony's Oven Slice,2022-12-04 00:00:00,5.0,Absolutely loved it! The crust was perfect and the toppings were fresh.,Herzliya,IL,"Pizza, Restaurants, Fast Food"
Tony's Oven Slice,2021-09-12 00:00:00,5.0,Outstanding service and even better pizza!,Herzliya,IL,"Pizza, Restaurants, Fast Food"
